Task ID;Area;Category;Progress;Priority;Assigned To;Created Date;Start date;Due date;Completed Date;Completed By;Req Type
6cVp9qC_lk6kMMl29C-weWUAL-JI;Projects;Automatizations;In progress;Important;Member 1;7/5/2024;7/4/2024;10/31/2024;;;Development
nSSJAd9tU20L3n94cLyjGUAKBco;Customer Experience;CRM Issues;In progress;Medium;Member 3;5/23/2024;8/12/2024;10/18/2024;;;Process
sVUeOsLnaEqZ9_eDx0OhsGUAGRSN;Customer Experience;Projects;In progress;Important;Member 3;6/5/2024;4/8/2024;10/18/2024;;;Process
hi5t1yHGdk64oQeCxXmbYGUAJGed;Customer Experience;CRM Issues;In progress;Important;Member 3;5/23/2024;9/24/2024;10/18/2024;;;Process
7yI5lxNtnUak1RJswkgyiWUAEaeG;Field Operations;App support;In progress;Important;Member 3;7/8/2024;7/8/2024;10/18/2024;;;Project
91uUYhUjUkW3iB_QR3yrHGUAO2OX;Customer Experience;CRM Issues;Not started;Important;Member 3;8/12/2024;8/13/2024;10/18/2024;;;Process
dN_RQL3aE6q28NHbA9o0mUAAyDH;Projects;CRM Issues;In progress;Important;Member 3;8/22/2024;9/2/2024;10/18/2024;;;Process
edD6RurB_0mIf7jDfgJyd2UAL2X_;Projects;CRM Issues;Not started;Important;Member 3;8/22/2024;9/11/2024;10/23/2024;;;Process
uFyUempD8E-bh0qyddDrvWUAIARn;Customer Experience;CRM Issues;Completed;Urgent;Member 3;10/3/2024;10/2/2024;10/25/2024;10/24/2024;Member 2;Process
kuaEmqDaBU-ygJIvquo3CmUAD6_A;Customer Experience;CRM Issues;In progress;Important;Member 3;10/8/2024;10/4/2024;10/18/2024;;;Process
jjU7A4vOKEiRLLBpchrwlGUAHSI5;Branding & Design;Marketing;Not started;Medium;Member 3;11/14/2024;;;;;Process
W7A-JQsUmECBZKwHwNygIGUAIzQ6;Administrative & Financial ;Accounting Processes;Completed;Medium;Member 1;9/26/2024;9/2/2024;9/26/2024;9/26/2024;Member 1;Development
X7UQlrsqYki9L-19xSSTmUAInR9;Customer Experience;App support;In progress;Important;Member 1;5/17/2024;1/3/2024;10/31/2024;;;Development
FDVKUlWK8EGuUg79jQ197mUANXnP;Projects;App support;Completed;Important;Member 1;5/17/2024;7/17/2024;8/8/2024;8/8/2024;Member 1;Automations
wxFTTCMhuUmkGSR4Wnq3r2UAE2Ne;Human Resources;Human Resources Processes;Not started;Medium;Member 1;9/19/2024;9/19/2024;;;;Development
j6nm2ZGrY0aNIwHxW5GMxWUAO4Or;Customer Experience;CRM Issues;Completed;Important;Member 1;9/23/2024;9/23/2024;9/26/2024;9/26/2024;Member 2;Development
XYTYbKJNRkCLap-K7IUQV2UAAVvM;Projects;Accounting Processes;Not started;Medium;Member 1;9/26/2024;9/26/2024;;;;Development
6KRMT_WKx0Cn465vnQX20WUAGYTY;Customer Experience;CRM Issues;Completed;Important;Member 1;9/30/2024;9/30/2024;9/30/2024;10/1/2024;Member 1;Development
NFLLm9latkWlTftyjWnPrGUACXsa;Customer Experience;App support;Completed;Important;Member 1;10/3/2024;10/2/2024;10/29/2024;10/28/2024;Member 1;Development
tt6FYRp5eU278eJkyBPpkWUAKJnN;Administrative & Financial ;Automatizations;Completed;Important;Member 1;7/12/2024;7/11/2024;9/23/2024;9/23/2024;Director;Automations
LSqOqDimxESx0cqjQS9LLWUAD8gx;Administrative & Financial ;Automatizations;Completed;Important;Member 1;7/15/2024;7/11/2024;8/30/2024;8/29/2024;Member 1;Automations
M-6eALAqxUeGrzi3TJvXFmUALhAd;Customer Experience;CRM Issues;Completed;Urgent;Member 1;7/24/2024;7/24/2024;7/24/2024;7/24/2024;Member 1;Development
Ptd-1kGLDUSawbz1rFAVnmUALidm;Customer Experience;CRM Issues;Completed;Urgent;Member 1;7/24/2024;7/24/2024;7/24/2024;7/24/2024;Member 1;Development
_Uy0DZIwlEKqXVJwMJ4pHWUANZdZ;Customer Experience;CRM Issues;Completed;Urgent;Member 1;7/25/2024;7/25/2024;7/26/2024;7/26/2024;Member 1;Development
7ei3VeVuKk60OQ-jzrLp-WUAItl2;Customer Experience;CRM Issues;Completed;Urgent;Member 1;7/25/2024;7/26/2024;7/26/2024;7/26/2024;Member 1;Development
Y7AozUJqCEiKDrR_0PxEW2UAMrNr;Customer Experience;CRM Issues;Completed;Urgent;Member 1;7/29/2024;7/29/2024;7/29/2024;7/29/2024;Member 1;Development
S0wCQ78Q5U2pZiIPFJOh0GUAEg6B;Customer Experience;CRM Issues;Completed;Medium;Member 1;7/29/2024;7/29/2024;7/29/2024;7/30/2024;Member 1;Development
rGlpq8YagUCxmqzWmHGkImUAJS_m;Customer Experience;CRM Issues;Completed;Medium;Member 1;7/29/2024;7/29/2024;7/30/2024;7/30/2024;Member 1;Development
-xSP2XGRnki8TQwpHN8HGmUAJ4k;Customer Experience;CRM Issues;Completed;Important;Member 1;7/30/2024;8/5/2024;8/9/2024;8/9/2024;Member 1;Development
P-Ix-MSheUWkcsRWB39NHmUAA0av;Customer Experience;CRM Issues;Completed;Medium;Member 1;8/1/2024;8/1/2024;8/1/2024;8/1/2024;Member 1;Development
dffkFHErGUy54KgJXvSlqmUADHic;Customer Experience;CRM Issues;Completed;Urgent;Member 1;8/5/2024;8/5/2024;8/5/2024;8/5/2024;Member 1;Development
R2SXZQNQmUix3mTDORVPzWUAAWeb;IT;Automatizations;Completed;Important;Member 1;8/20/2024;9/25/2024;10/23/2024;11/5/2024;Member 1;Automations
nPY_pceRd0q-XTgQEo6dBGUADG38;Customer Experience;CRM Issues;Completed;Medium;Member 1;8/22/2024;8/22/2024;8/22/2024;8/22/2024;Member 1;Development
SXUajtsBG0Wej8L7JC4_32UAPIWf;Projects;App support;In progress;Medium;Member 1;8/28/2024;8/28/2024;;;;Project
gZO-DkbIu2GmwZ_1LNI5GUADRKi;Customer Experience;CRM Issues;Completed;Medium;Member 1;8/30/2024;8/30/2024;8/30/2024;8/30/2024;Member 1;Development
o9uwKokI0EKCRDyoSAzFr2UABCFg;Customer Experience;CRM Issues;Completed;Medium;Member 1;9/2/2024;9/2/2024;9/2/2024;9/2/2024;Member 1;Development
fdBP3tp77UilQpR7tfv2MGUAP1Id;Customer Experience;CRM Issues;Completed;Important;Member 1;9/3/2024;9/3/2024;9/3/2024;9/3/2024;Member 1;Development
6OzWG-kSEkCHFMwjfZXihmUAPJj8;Administrative & Financial ;App support;Completed;Medium;Member 1;9/4/2024;9/16/2024;10/4/2024;10/4/2024;Member 1;Automations
tOHPhQgjTkmJDQVlkXEGdmUAI_xQ;Customer Experience;CRM Issues;Completed;Important;Member 1;9/5/2024;9/5/2024;9/5/2024;9/6/2024;Member 2;Development
gq1uo45O60uIuBeEFH54SGUAGBy3;Customer Experience;App support;Completed;Important;Member 1;9/6/2024;9/9/2024;9/27/2024;9/27/2024;Member 1;Development
Cxw9sR66a0ebFyDp54XPjmUANRSc;Customer Experience;CRM Issues;Completed;Important;Member 1;9/10/2024;9/10/2024;9/11/2024;9/11/2024;Member 2;Development
zUzk8BW8kk215zvTMi0KnWUAFBEc;Customer Experience;CRM Issues;Completed;Medium;Member 1;9/13/2024;9/13/2024;9/13/2024;9/13/2024;Member 1;Development
XBCqdFrRQkOxt1nz5oxcc2UAMhwX;Customer Experience;App support;Completed;Medium;Member 1;9/17/2024;9/19/2024;9/19/2024;9/19/2024;Member 1;Development
kjrn22L5s0a3MVC-S5CMrmUADOZJ;Customer Experience;CRM Issues;Completed;Important;Member 1;10/15/2024;10/15/2024;10/15/2024;10/15/2024;Member 1;Development
QfYjtUQVQkq_YYHQKwPqLGUANUyo;Customer Experience;App support;Completed;Medium;Member 1;10/15/2024;10/17/2024;10/17/2024;10/16/2024;Member 1;Development
TBnYBPe4NE-VQZkEYt9rs2UAAgZd;Customer Experience;CRM Issues;Completed;Important;Member 1;10/17/2024;10/18/2024;10/18/2024;10/18/2024;Member 1;Development
6EtRSVqAV0ygAS0r2IsWgmUAAmm5;Customer Experience;CRM Issues;Completed;Important;Member 1;10/17/2024;10/18/2024;10/18/2024;10/18/2024;Member 1;Development
swzDu66MTUW6kEBs7m7WvWUAPsI0;Customer Experience;CRM Issues;Completed;Important;Member 1;10/18/2024;10/21/2024;10/21/2024;10/22/2024;Member 2;Development
Y8AL_L55w0i0yWcMgM1Fa2UAKhGe;Customer Experience;CRM Issues;Completed;Medium;Member 1;10/19/2024;10/21/2024;10/21/2024;10/21/2024;Member 1;Development
Q7BAMf9Es0eyCGJDcLdVHGUACeX8;Human Resources;CRM Issues;Completed;Medium;Member 1;10/24/2024;10/24/2024;10/24/2024;10/24/2024;Member 1;Development
eFom6jKNNkCOuz0pqZCXJ2UAK8ml;VP of BO;Salesforce;Not started;Important;Member 1;10/29/2024;10/29/2024;;;;Development
wEBC0BiyFUKpx3O__nFbOGUAL1EX;Administrative & Financial ;App support;Not started;Important;Member 1;10/30/2024;10/30/2024;;;;Adjustment
QWn3T9aR1EOboiO_Va8hX2UAA0Pp;Customer Experience;CRM Issues;Completed;Medium;Member 1;10/30/2024;10/30/2024;10/30/2024;11/1/2024;Member 1;Development
GwmEaDMaV0KxiecfD6eW7WUADYyY;Customer Experience;App support;Completed;Medium;Member 1;10/31/2024;10/28/2024;11/1/2024;11/1/2024;Member 1;Automations
tvlH8bQHTki_2P9vlvW0u2UAFXx2;Marketing;CRM Issues;Completed;Medium;Member 1;11/1/2024;11/1/2024;11/1/2024;11/1/2024;Member 1;Development
JDUDJ7IfQUylARCmQleEd2UAA5gy;Sales;Salesforce;Completed;Medium;Member 1;11/5/2024;11/1/2024;11/5/2024;11/5/2024;Member 1;Development
W6aNZmavvkaW2rJypHpVeWUAFDm8;Branding & Design;CRM Issues;Completed;Medium;Member 1;5/11/2024;5/11/2024;6/11/2024;6/11/2024;Member 1;Development
X4jEZoPliUWdpOItaHhyXWUAMNg2;Customer Experience;CRM Issues;Completed;Medium;Member 1;11/11/2024;11/11/2024;12/11/2024;12/11/2024;Member 1;Adjustment
LRB1e3sWt0iO48sKhogGkmUANs2k;Sales;Salesforce;Completed;Medium;Member 1;12/11/2024;12/11/2024;12/11/2024;12/11/2024;Member 1;Adjustment
bJbOEaZxgk-iNTyfHIJ3v2UAMFz5;Marketing;Salesforce;Completed;Medium;Member 1;11/13/2024;11/18/2024;11/18/2024;11/18/2024;Member 1;Development
Ii2lt_2auUa6soKQiHVRpGUAOBRz;Customer Experience;CRM Issues;Completed;Medium;Member 1;11/14/2024;8/11/2024;11/15/2024;11/15/2024;Member 1;Development
XjwuInjLcEep-o8TpXcdnmUAL1vI;VP of BO;Salesforce;Completed;Medium;Member 1;11/18/2024;11/18/2024;11/18/2024;11/18/2024;Member 1;Development
sv9T7e7NEOLYTRCIdUYlWUACRWH;Customer Experience;CRM Issues;Completed;Medium;Member 1;11/18/2024;4/11/2024;11/18/2024;11/18/2024;Member 1;Development
LrGJP1eeVEWqSKXRfWqkl2UAJ9p2;Administrative & Financial ;App support;Completed;Medium;Member 1;11/19/2024;11/20/2024;11/20/2024;11/20/2024;Member 1;Development
QB5dJ-Ru6kuo-YgTjaGagWUAIqe_;Customer Experience;App support;Completed;Urgent;Member 1;11/20/2024;11/21/2024;11/21/2024;11/21/2024;Member 1;Development
V3KXDCjk6UO0QS41wXXn3GUACMmw;Customer Experience;CRM Issues;Completed;Medium;Member 1;11/21/2024;11/25/2024;11/25/2024;11/25/2024;Member 1;Development
VyGUgLbX7UydLfOircVCWmUAIsMa;Projects;App support;Completed;Important;Member 1;11/22/2024;11/22/2024;11/22/2024;11/22/2024;Member 1;Development
WLDXF9YEUkiE7ksWAl2T1GUALrqT;Customer Experience;App support;Completed;Medium;Member 2;6/5/2024;6/5/2024;6/5/2024;6/5/2024;Member 2;Development
8aBehUjbGkCMH-419GcDX2UAG0ZR;Projects;CRM Issues;Not started;Urgent;Member 2;11/1/2024;12/1/2024;12/5/2024;;;Development
B5-jfZSl0EW_QMQXtNnAGGUAOcBK;Customer Experience;Projects;Completed;Medium;Member 2;7/9/2024;8/1/2024;8/31/2024;9/2/2024;Member 2;Development
bWgBvbbnBUSbc0gBtFCokmUAJ0pz;Projects;CRM Issues;Completed;Urgent;Member 2;8/14/2024;9/1/2024;9/9/2024;9/9/2024;Director;Development
EEs8FvRGx0G82zNjWrXqbWUAOwfu;Customer Experience;App support;Completed;Medium;Member 2;6/5/2024;6/1/2024;6/30/2024;7/9/2024;Member 2;Development
KTQW4adP9UG8N5af5AWt8WUAMoHy;Projects;CRM Issues;Completed;Urgent;Member 2;6/6/2024;7/5/2024;7/5/2024;7/9/2024;Director;Development
MKkIjwMDLkacEpuP1YS2zGUAEBcI;Projects;CRM Issues;Completed;Important;Member 2;7/2/2024;8/1/2024;8/2/2024;8/6/2024;Director;Development
QGeHdNe0nkG2JIHo_L7zWGUAEN1_;Sales;Salesforce;Completed;Medium;Member 2;6/17/2024;6/1/2024;6/30/2024;7/2/2024;Member 2;Development
9IjbmuZddE-cJ46Rl2YtyGUABleU;VP of BO;Salesforce;Completed;Urgent;Member 2;6/4/2024;6/4/2024;6/21/2024;6/17/2024;Member 2;Development
3GGXzY8JmUC0p4uF-BJbMmUAKgPH;Human Resources;App support;Completed;Important;Member 2;5/16/2024;2/1/2024;6/30/2024;7/24/2024;Member 2;Project
Tkj6gKUujkywjj_xivs4WmUAKWhf;Sales;Salesforce;Completed;Urgent;Member 2;5/21/2024;5/14/2024;6/14/2024;6/20/2024;Member 2;Project
sl9ZZ-2P3km9nNH-v-aVmUAKLTN;Sales;Salesforce;Completed;Urgent;Member 2;5/21/2024;5/14/2024;6/21/2024;7/17/2024;Member 2;Project
w_QDnUpGk0eFeG5RUHE3NWUAFuim;Customer Experience;App support;Completed;Medium;Member 2;5/29/2024;5/29/2024;5/31/2024;5/29/2024;Director;Development
yXCVgMomDE67mV3xF3Qv-WUALEiV;Projects;App support;Completed;Medium;Member 2;6/5/2024;5/31/2024;6/7/2024;6/7/2024;Member 2;Development
b9jg32ZfkEGNWfT6BHXATWUAHIUX;Branding & Design;App support;Completed;Medium;Member 2;5/31/2024;5/30/2024;6/21/2024;6/12/2024;Member 2;Development
SFcXdWu2ckybSd_9kMAb3WUADx4h;Customer Experience;CRM Issues;Completed;Medium;Member 2;6/19/2024;6/19/2024;6/21/2024;7/9/2024;Member 2;Development
GmsiQvwPkE6jxS8MRB4GKGUAFMkY;VP of BO;Salesforce;Completed;Urgent;Member 2;6/17/2024;6/17/2024;6/17/2024;6/17/2024;Director;Project
JHV4JNBA70iCyBGmE7vvjGUANqVX;Customer Experience;App support;Completed;Important;Member 2;5/21/2024;5/27/2024;7/19/2024;7/23/2024;Member 2;Project
fkZQSL1fMUmNZFjt2BW_2GUAIzeQ;Customer Experience;CRM Issues;Completed;Medium;Member 2;6/19/2024;6/19/2024;6/21/2024;6/21/2024;Director;Development
Vf_MTZ_61U-aWttIrDF4EWUAOQ2P;Projects;App support;Completed;Important;Member 2;6/21/2024;6/21/2024;8/30/2024;9/9/2024;Member 1;Development
bS2pdPUYQ0KuqJxE9ze1fWUAHOqZ;VP of BO;Salesforce;Completed;Important;Member 2;6/26/2024;6/25/2024;6/30/2024;6/26/2024;Director;Development
